2025-12-15T19:43:11.000000000Z [inf]  Starting Container
2025-12-15T19:46:41.980895075Z [inf]  [GPT-Screen] DOGEUSDT: score=38, direction=NONE, hasOpp=false
2025-12-15T19:46:41.980901204Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 38) - skipping
2025-12-15T19:46:51.190240085Z [inf]  [GPT-Screen] ETHUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:46:51.190244838Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:46:59.216952298Z [inf]  [Engine] BNBUSDT: HOLD (58%)
2025-12-15T19:47:06.334540739Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:47:13.198896295Z [inf]  [GPT-Screen] SOLUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:47:17.448364604Z [inf]  [GPT-Screen] BNBUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:47:17.448370166Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:47:21.141689751Z [inf]  [GPT-Screen] SOLUSDT: score=45, direction=SELL, hasOpp=false
2025-12-15T19:47:21.141693761Z [inf]  [Engine] SOLUSDT: No opportunity (score: 45) - skipping
2025-12-15T19:47:29.261316521Z [inf]  [GPT-Screen] BTCUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:47:30.251259554Z [inf]  [GPT-Screen] XRPUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:47:30.251266175Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:47:37.154932382Z [inf]  [GPT-Screen] BTCUSDT: score=78, direction=SELL, hasOpp=true
2025-12-15T19:47:37.154939385Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 78, direction: SELL)
2025-12-15T19:47:37.154945144Z [inf]  [Engine] BNBUSDT: SELL (58%)
2025-12-15T19:47:37.154949951Z [inf]  [Engine]   └─ Size: 2% | Lev: 4x | SL: $863.20 | TP: $844.30
2025-12-15T19:47:56.515749622Z [inf]  [Engine] XRPUSDT: HOLD (63%)
2025-12-15T19:47:56.515771239Z [inf]  [GPT-Screen] SOLUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:47:56.515781117Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:47:56.515789009Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:48:16.514539687Z [inf]  [GPT-Screen] DOGEUSDT: score=45, direction=SELL, hasOpp=false
2025-12-15T19:48:16.514550330Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 45) - skipping
2025-12-15T19:48:16.514557052Z [inf]  [Engine] SOLUSDT: BUY (56%)
2025-12-15T19:48:16.514561963Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $123.95 | TP: $125.65
2025-12-15T19:48:23.138063757Z [inf]  [GPT-Screen] XRPUSDT: score=66, direction=SELL, hasOpp=true
2025-12-15T19:48:23.138073500Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 66, direction: SELL)
2025-12-15T19:48:23.373636375Z [inf]  [GPT-Screen] ETHUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:48:30.236786452Z [inf]  [GPT-Screen] BTCUSDT: score=60, direction=SELL, hasOpp=true
2025-12-15T19:48:30.236791898Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 60, direction: SELL)
2025-12-15T19:48:36.417125483Z [inf]  [GPT-Screen] ETHUSDT: score=72, direction=SELL, hasOpp=true
2025-12-15T19:48:36.417131463Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 72, direction: SELL)
2025-12-15T19:48:40.176625859Z [inf]  [Engine] XRPUSDT: HOLD (58%)
2025-12-15T19:48:42.581599899Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:48:50.371268916Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 45) - skipping
2025-12-15T19:48:50.371328602Z [inf]  [GPT-Screen] DOGEUSDT: score=45, direction=SELL, hasOpp=false
2025-12-15T19:48:51.492108103Z [inf]  [GPT-Screen] ETHUSDT: score=78, direction=BUY, hasOpp=true
2025-12-15T19:48:51.492113795Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 78, direction: BUY)
2025-12-15T19:48:52.360253077Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:49:02.165237822Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 62, direction: SELL)
2025-12-15T19:49:02.165278738Z [inf]  [GPT-Screen] BNBUSDT: score=62, direction=SELL, hasOpp=true
2025-12-15T19:49:21.626953547Z [inf]  [Engine] ETHUSDT: HOLD (52%)
2025-12-15T19:49:21.626965086Z [inf]  [Engine] BNBUSDT: SELL (58%)
2025-12-15T19:49:21.626972424Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $863.20 | TP: $846.20
2025-12-15T19:49:28.461620692Z [inf]  [GPT-Screen] BTCUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:49:33.487203592Z [inf]  [GPT-Screen] SOLUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:49:33.487500203Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:49:40.148578790Z [inf]  [GPT-Screen] BTCUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:49:40.148583202Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:49:48.241838927Z [inf]  [GPT-Screen] BNBUSDT: score=45, direction=NONE, hasOpp=false
2025-12-15T19:49:48.241866500Z [inf]  [Engine] BNBUSDT: No opportunity (score: 45) - skipping
2025-12-15T19:49:48.666504814Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:49:55.523067213Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:50:00.470165651Z [inf]  [GPT-Screen] XRPUSDT: score=65, direction=SELL, hasOpp=true
2025-12-15T19:50:00.474008368Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 65, direction: SELL)
2025-12-15T19:50:03.659828586Z [inf]  [GPT-Screen] SOLUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:50:03.659839454Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:50:23.658163993Z [inf]  [GPT-Screen] ETHUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:50:23.658173385Z [inf]  [Engine] XRPUSDT: HOLD (58%)
2025-12-15T19:50:23.658179324Z [inf]  [Engine] SOLUSDT: BUY (52%)
2025-12-15T19:50:23.658185362Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $123.95 | TP: $125.70
2025-12-15T19:50:25.462029718Z [inf]  [GPT-Screen] DOGEUSDT: score=55, direction=BUY, hasOpp=true
2025-12-15T19:50:25.462038872Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 55) - skipping
2025-12-15T19:50:26.367038310Z [inf]  [GPT-Screen] BTCUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:50:26.367043923Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:50:30.523146580Z [inf]  [GPT-Screen] ETHUSDT: score=40, direction=NONE, hasOpp=false
2025-12-15T19:50:30.523151639Z [inf]  [Engine] ETHUSDT: No opportunity (score: 40) - skipping
2025-12-15T19:50:31.566644060Z [inf]  [GPT-Screen] XRPUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:50:31.566850984Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:50:41.484770186Z [inf]  [GPT-Screen] BNBUSDT: score=75, direction=SELL, hasOpp=true
2025-12-15T19:50:41.484791263Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 75, direction: SELL)
2025-12-15T19:50:44.761508166Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:50:51.824320127Z [inf]  [Engine] XRPUSDT: HOLD (68%)
2025-12-15T19:50:55.541177052Z [inf]  [GPT-Screen] ETHUSDT: score=77, direction=BUY, hasOpp=true
2025-12-15T19:50:55.541194937Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 77, direction: BUY)
2025-12-15T19:50:55.796506609Z [inf]  [Engine] BNBUSDT: HOLD (58%)
2025-12-15T19:51:05.667736449Z [inf]  [GPT-Screen] DOGEUSDT: score=85, direction=BUY, hasOpp=true
2025-12-15T19:51:05.667742405Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 85, direction: BUY)
2025-12-15T19:51:09.596067387Z [inf]  [GPT-Screen] SOLUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:51:09.596073768Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:51:14.615153292Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:51:24.478615980Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:51:24.793884751Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:51:28.712189988Z [inf]  [GPT-Screen] BTCUSDT: score=65, direction=SELL, hasOpp=true
2025-12-15T19:51:28.712196505Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 65, direction: SELL)
2025-12-15T19:51:29.670661538Z [inf]  [GPT-Screen] BNBUSDT: score=60, direction=SELL, hasOpp=true
2025-12-15T19:51:29.670666454Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 60, direction: SELL)
2025-12-15T19:51:49.666566037Z [inf]  [GPT-Screen] XRPUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:51:49.666576045Z [inf]  [Engine] BTCUSDT: HOLD (57%)
2025-12-15T19:51:50.639970054Z [inf]  [Engine] BNBUSDT: HOLD (58%)
2025-12-15T19:51:55.629036417Z [inf]  [GPT-Screen] ETHUSDT: score=80, direction=BUY, hasOpp=true
2025-12-15T19:51:55.629042136Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 80, direction: BUY)
2025-12-15T19:51:57.612089752Z [inf]  [GPT-Screen] XRPUSDT: score=40, direction=NONE, hasOpp=false
2025-12-15T19:51:57.612097851Z [inf]  [Engine] XRPUSDT: No opportunity (score: 40) - skipping
2025-12-15T19:52:03.671254485Z [inf]  [GPT-Screen] SOLUSDT: score=62, direction=BUY, hasOpp=true
2025-12-15T19:52:03.671265103Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 62, direction: BUY)
2025-12-15T19:52:09.610937896Z [inf]  [GPT-Screen] DOGEUSDT: score=35, direction=NONE, hasOpp=false
2025-12-15T19:52:09.610942153Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 35) - skipping
2025-12-15T19:52:10.606554572Z [inf]  [Engine] ETHUSDT: HOLD (66%)
2025-12-15T19:52:16.967936134Z [inf]  [Socket] Client disconnected: bCmJUwjdRJLXbZanAAAB
2025-12-15T19:52:17.637355474Z [inf]  [Socket] Client connected: bIK4syvjNaCeft-4AAAD
2025-12-15T19:52:22.811906662Z [inf]  [GPT-Screen] BNBUSDT: score=45, direction=SELL, hasOpp=false
2025-12-15T19:52:22.811915587Z [inf]  [Engine] BNBUSDT: No opportunity (score: 45) - skipping
2025-12-15T19:52:25.832819336Z [inf]  [Engine] SOLUSDT: BUY (54%)
2025-12-15T19:52:25.832829170Z [inf]  [Engine]   └─ Size: 1% | Lev: 3x | SL: $123.90 | TP: $125.85
2025-12-15T19:52:27.486313453Z [inf]  [GPT-Screen] BTCUSDT: score=75, direction=BUY, hasOpp=true
2025-12-15T19:52:27.486317405Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 75, direction: BUY)
2025-12-15T19:52:34.842319699Z [inf]  [GPT-Screen] SOLUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:52:40.061184058Z [inf]  [GPT-Screen] XRPUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:52:40.061192260Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:52:42.662920902Z [inf]  [Engine] BTCUSDT: BUY (56%)
2025-12-15T19:52:42.662926981Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $85370.00 | TP: $86620.00
2025-12-15T19:52:48.697648537Z [inf]  [GPT-Screen] SOLUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:52:48.697654020Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:52:49.648489223Z [inf]  [GPT-Screen] ETHUSDT: score=70, direction=BUY, hasOpp=true
2025-12-15T19:52:49.648494802Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 70, direction: BUY)
2025-12-15T19:52:54.661986545Z [inf]  [Engine] XRPUSDT: HOLD (44%)
2025-12-15T19:53:14.143538569Z [inf]  [GPT-Screen] DOGEUSDT: score=55, direction=BUY, hasOpp=true
2025-12-15T19:53:14.143543623Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 55) - skipping
2025-12-15T19:53:14.143549395Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:53:17.767172867Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:53:22.827067178Z [inf]  [GPT-Screen] XRPUSDT: score=30, direction=SELL, hasOpp=false
2025-12-15T19:53:22.827075879Z [inf]  [Engine] XRPUSDT: No opportunity (score: 30) - skipping
2025-12-15T19:53:25.816778834Z [inf]  [GPT-Screen] BNBUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:53:25.816784207Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:53:27.782829509Z [inf]  [GPT-Screen] BTCUSDT: score=60, direction=BUY, hasOpp=true
2025-12-15T19:53:27.782836041Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-15T19:53:47.197404868Z [inf]  [GPT-Screen] DOGEUSDT: score=60, direction=BUY, hasOpp=true
2025-12-15T19:53:47.197418960Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-15T19:53:47.197429221Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:53:47.197438562Z [inf]  [Engine] BNBUSDT: HOLD (58%)
2025-12-15T19:53:53.744754411Z [inf]  [GPT-Screen] ETHUSDT: score=77, direction=BUY, hasOpp=true
2025-12-15T19:53:53.744762402Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 77, direction: BUY)
2025-12-15T19:53:54.842039113Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:54:03.880117135Z [inf]  [GPT-Screen] SOLUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:54:11.950154371Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:54:13.218145273Z [inf]  [GPT-Screen] SOLUSDT: score=60, direction=BUY, hasOpp=true
2025-12-15T19:54:13.218157690Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-15T19:54:33.217900312Z [inf]  [GPT-Screen] BNBUSDT: score=55, direction=SELL, hasOpp=true
2025-12-15T19:54:33.217912989Z [inf]  [Engine] BNBUSDT: No opportunity (score: 55) - skipping
2025-12-15T19:54:33.217923459Z [inf]  [GPT-Screen] BTCUSDT: score=66, direction=SELL, hasOpp=true
2025-12-15T19:54:33.217930458Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 66, direction: SELL)
2025-12-15T19:54:33.217936693Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:54:36.866747484Z [inf]  [GPT-Screen] SOLUSDT: score=65, direction=BUY, hasOpp=true
2025-12-15T19:54:36.866754650Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 65, direction: BUY)
2025-12-15T19:54:42.889634379Z [inf]  [GPT-Screen] XRPUSDT: score=75, direction=SELL, hasOpp=true
2025-12-15T19:54:42.889639578Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 75, direction: SELL)
2025-12-15T19:54:46.912403357Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:54:51.985074283Z [inf]  [Socket] Client disconnected: bIK4syvjNaCeft-4AAAD
2025-12-15T19:54:51.985096186Z [inf]  [Socket] Client connected: LO7h3W-3E8UYnZD9AAAF
2025-12-15T19:54:58.288868961Z [inf]  [Engine] SOLUSDT: BUY (52%)
2025-12-15T19:54:58.288879197Z [inf]  [Engine]   └─ Size: 1% | Lev: 3x | SL: $123.95 | TP: $126.00
2025-12-15T19:54:59.244015551Z [inf]  [GPT-Screen] ETHUSDT: score=80, direction=BUY, hasOpp=true
2025-12-15T19:54:59.244021147Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 80, direction: BUY)
2025-12-15T19:55:00.285272369Z [inf]  [Engine] XRPUSDT: HOLD (58%)
2025-12-15T19:55:20.204723225Z [inf]  [GPT-Screen] XRPUSDT: score=38, direction=NONE, hasOpp=false
2025-12-15T19:55:20.204738069Z [inf]  [Engine] XRPUSDT: No opportunity (score: 38) - skipping
2025-12-15T19:55:20.204747045Z [inf]  [GPT-Screen] DOGEUSDT: score=62, direction=BUY, hasOpp=true
2025-12-15T19:55:20.204758283Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 62, direction: BUY)
2025-12-15T19:55:20.204766433Z [inf]  [Engine] ETHUSDT: BUY (53%)
2025-12-15T19:55:20.204773568Z [inf]  [Engine]   └─ Size: 1% | Lev: 3x | SL: $2896.00 | TP: $2979.00
2025-12-15T19:55:22.074457781Z [inf]  [GPT-Screen] DOGEUSDT: score=65, direction=BUY, hasOpp=true
2025-12-15T19:55:22.074466270Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 65, direction: BUY)
2025-12-15T19:55:25.967196264Z [inf]  [GPT-Screen] BNBUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:55:25.967201214Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:55:34.123953178Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:55:38.017957276Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:55:38.017962286Z [inf]  [GPT-Screen] BTCUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:55:38.017967612Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:55:40.969424637Z [inf]  [Engine] BNBUSDT: SELL (58%)
2025-12-15T19:55:40.969430369Z [inf]  [Engine]   └─ Size: 1% | Lev: 3x | SL: $856.90 | TP: $844.50
2025-12-15T19:56:00.402771222Z [inf]  [GPT-Screen] SOLUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:56:00.402781909Z [inf]  [Engine] BTCUSDT: SELL (62%)
